civil_date,total_row_count,rows_from_offset_0,rows_from_offset_minus_1,rows_from_offset_minus_7,rows_from_offset_minus_30,rows_from_offset_minus_365,rows_from_offset_minus_3650,rows_from_offset_plus_1,t0_file_status,expected_contributing_files_count,available_contributing_files_count,coverage_quality_flag,coverage_completeness,represented_only,documented_exception_label
2013-10-02,159668,155501,378,1853,650,919,0,367,present,6,6,full,1.0,False,
2013-10-03,54227,49894,436,1668,591,1431,0,207,present,6,6,full,1.0,False,
2013-10-04,64416,60702,744,1321,634,961,0,54,present,6,6,full,1.0,False,
2013-10-05,99248,95816,812,901,809,820,0,90,present,6,6,full,1.0,False,
2013-10-06,105652,100986,955,1022,1162,1376,0,151,present,6,6,full,1.0,False,
2013-10-07,159415,154172,1134,1558,915,1391,0,245,present,6,6,full,1.0,False,
2013-10-08,143849,138070,1229,1675,1027,1430,0,418,present,6,6,full,1.0,False,
2013-10-09,169264,163820,1290,1429,916,1492,0,317,present,6,6,full,1.0,False,
2013-10-10,172948,168138,921,1612,623,1340,0,314,present,6,6,full,1.0,False,
2013-10-11,140081,136122,663,1611,674,722,0,289,present,6,6,full,1.0,False,
2013-10-12,94537,91181,548,951,792,846,0,219,present,6,6,full,1.0,False,
2013-10-13,94685,90254,875,1143,1038,1270,0,105,present,6,6,full,1.0,False,
2013-10-14,138024,133242,1029,1046,1061,1428,0,218,present,6,6,full,1.0,False,
2013-10-15,155567,149803,1110,1694,923,1774,0,263,present,6,6,full,1.0,False,
2013-10-16,152841,148014,1008,1367,760,1488,0,204,present,6,6,full,1.0,False,
2013-10-17,152081,147326,1107,1478,409,1480,0,281,present,6,6,full,1.0,False,
2013-10-18,147249,143549,742,1303,557,869,0,229,present,6,6,full,1.0,False,
2013-10-19,95141,91788,658,871,774,808,0,242,present,6,6,full,1.0,False,
2013-10-20,94678,90777,394,927,843,1433,0,304,present,6,6,full,1.0,False,
2013-10-21,76591,70180,1359,2070,1163,1613,0,206,present,6,6,full,1.0,False,
2013-10-22,168991,163637,1142,1731,953,1381,0,147,present,6,6,full,1.0,False,
2013-10-23,159868,154216,1167,1596,923,1545,0,421,present,6,6,full,1.0,False,
2013-10-24,161984,157348,1076,1393,461,1495,0,211,present,6,6,full,1.0,False,
2013-10-25,149645,146043,668,1169,511,971,0,283,present,6,6,full,1.0,False,
2013-10-26,91764,88676,605,791,704,808,0,180,present,6,6,full,1.0,False,
2013-10-27,96965,92677,975,994,869,1354,0,96,present,6,6,full,1.0,False,
2013-10-28,153331,148229,1313,1303,947,1353,0,186,present,6,6,full,1.0,False,
2013-10-29,164512,158960,1323,1733,612,1476,0,408,present,6,6,full,1.0,False,
2013-10-30,152485,147469,1404,1295,477,1547,0,293,present,6,6,full,1.0,False,
2013-10-31,157738,153591,1228,1201,4,1517,0,197,present,6,6,full,1.0,False,
2013-11-01,133466,130545,692,984,150,831,0,264,present,6,6,full,1.0,False,
2013-11-02,96155,93531,556,945,0,953,0,170,present,6,6,full,1.0,False,
2013-11-03,90106,86841,576,1058,0,1536,0,95,present,6,6,full,1.0,False,
2013-11-04,108468,103476,1201,1686,561,1411,0,133,present,6,6,full,1.0,False,
2013-11-05,157002,151059,1022,1880,1375,1491,0,175,present,6,6,full,1.0,False,
2013-11-06,150852,144680,1169,2126,938,1680,0,259,present,6,6,full,1.0,False,
2013-11-07,156834,151771,916,1431,848,1661,0,207,present,6,6,full,1.0,False,
2013-11-08,132120,128220,844,1477,355,983,0,241,present,6,6,full,1.0,False,
2013-11-09,102726,99088,640,734,1144,943,0,177,present,6,6,full,1.0,False,
2013-11-10,102907,97519,1065,1202,1389,1566,0,166,present,6,6,full,1.0,False,
2013-11-11,141100,135356,1245,1647,1073,1573,0,206,present,6,6,full,1.0,False,
2013-11-12,161310,155141,1210,1553,1328,1839,0,239,present,6,6,full,1.0,False,
2013-11-13,163721,157845,1318,1624,896,1637,0,401,present,6,6,full,1.0,False,
2013-11-14,160938,156010,1162,1386,454,1531,0,395,present,6,6,full,1.0,False,
2013-11-15,145657,142155,592,1166,596,855,0,293,present,6,6,full,1.0,False,
2013-11-16,74362,70419,662,603,1232,1261,0,185,present,6,6,full,1.0,False,
2013-11-17,100627,95124,1042,1070,1198,2023,0,170,present,6,6,full,1.0,False,
2013-11-18,158475,152698,1220,1706,1004,1671,0,176,present,6,6,full,1.0,False,
2013-11-19,171675,165672,1498,1677,815,1661,0,352,present,6,6,full,1.0,False,
2013-11-20,172760,166512,1254,1846,833,1909,0,406,present,6,6,full,1.0,False,
2013-11-21,169301,164219,1100,1376,622,1666,0,318,present,6,6,full,1.0,False,
2013-11-22,150366,146934,682,1302,309,848,0,291,present,6,6,full,1.0,False,
2013-11-23,93102,90653,672,0,615,934,0,228,present,6,6,full,1.0,False,
2013-11-24,99122,95600,1106,290,410,1581,0,135,present,6,6,full,1.0,False,
2013-11-25,155646,152306,1273,0,266,1646,0,155,present,6,6,full,1.0,False,
2013-11-26,158893,155251,1418,0,457,1535,0,232,present,6,6,full,1.0,False,
2013-11-27,156194,152262,1130,550,504,1524,0,224,present,6,6,full,1.0,False,
2013-11-28,122872,118819,1029,1066,322,1439,0,197,present,6,6,full,1.0,False,
2013-11-29,120062,117353,0,1438,240,793,0,238,present,6,6,full,1.0,False,
2013-11-30,69772,67139,161,875,389,1026,0,182,present,6,6,full,1.0,False,
2013-12-01,23768,21013,0,539,349,1867,0,0,present,6,6,full,1.0,False,
2013-12-02,38876,36407,0,2035,420,0,0,14,present,6,6,full,1.0,False,
2013-12-03,42866,37759,352,1996,830,1929,0,0,present,6,6,full,1.0,False,
2013-12-04,56819,51696,1331,1355,684,1753,0,0,present,6,6,full,1.0,False,
2013-12-05,162563,157982,1236,1331,357,1553,0,104,present,6,6,full,1.0,False,
2013-12-06,149589,145726,762,1203,589,890,0,419,present,6,6,full,1.0,False,
2013-12-07,94793,92069,186,648,844,782,0,264,present,6,6,full,1.0,False,
2013-12-08,43419,38628,1109,978,889,1629,0,186,present,6,6,full,1.0,False,
2013-12-09,143091,137488,1215,1643,997,1626,0,122,present,6,6,full,1.0,False,
2013-12-10,153866,148135,940,1368,1002,1731,0,690,present,6,6,full,1.0,False,
2013-12-11,124162,118876,1409,1243,978,1297,0,359,present,6,6,full,1.0,False,
2013-12-12,153276,148845,1054,924,528,1648,0,277,present,6,6,full,1.0,False,
2013-12-13,139364,136387,588,861,400,872,0,256,present,6,6,full,1.0,False,
2013-12-14,82918,79839,546,804,623,890,0,216,present,6,6,full,1.0,False,
2013-12-15,91459,86752,983,879,948,1625,0,272,present,6,6,full,1.0,False,
2013-12-16,145605,140501,1150,1421,943,1379,0,211,present,6,6,full,1.0,False,
2013-12-17,148047,143424,953,981,771,1587,0,331,present,6,6,full,1.0,False,
2013-12-18,136973,133218,883,641,198,1852,0,181,present,6,6,full,1.0,False,
2013-12-19,147705,144016,1083,747,102,1537,0,220,present,6,6,full,1.0,False,
2013-12-20,133570,131181,533,711,144,758,0,243,present,6,6,full,1.0,False,
2013-12-21,84474,81973,577,662,150,941,0,171,present,6,6,full,1.0,False,
2013-12-22,80782,77789,732,519,170,1434,0,138,present,6,6,full,1.0,False,
2013-12-23,111173,108027,768,735,183,1346,0,114,present,6,6,full,1.0,False,
2013-12-24,94372,91945,412,825,0,1025,0,165,present,6,5,t_minus_n_neighbor_substrate_gap,0.8333333333333334,False,
2013-12-25,72793,70931,588,482,0,724,0,68,present,6,5,t_minus_n_neighbor_substrate_gap,0.8333333333333334,False,
2013-12-26,98578,96449,663,623,0,746,0,97,present,6,5,t_minus_n_neighbor_substrate_gap,0.8333333333333334,False,
2013-12-27,103877,101798,476,665,285,571,0,82,present,6,6,full,1.0,False,
2013-12-28,70952,68303,532,439,829,766,0,83,present,6,6,full,1.0,False,
2013-12-29,75634,72418,692,695,735,1032,0,62,present,6,6,full,1.0,False,
2013-12-30,105910,102312,610,1114,683,1109,0,82,present,6,6,full,1.0,False,
2013-12-31,99186,96255,600,1073,392,757,0,109,present,6,6,full,1.0,False,
2014-01-01,73697,70957,797,839,321,638,0,145,present,6,6,full,1.0,False,
2014-01-02,115357,112007,844,964,341,1068,0,133,present,6,6,full,1.0,False,
2014-01-03,107345,104382,475,960,624,720,0,184,present,6,6,full,1.0,False,
2014-01-04,71787,68907,660,537,819,760,0,104,present,6,6,full,1.0,False,
2014-01-05,86914,82127,1057,831,1038,1709,0,152,present,6,6,full,1.0,False,
2014-01-06,126942,121231,1199,1457,997,1885,0,173,present,6,6,full,1.0,False,
2014-01-07,134835,128895,1193,1438,986,2083,0,240,present,6,6,full,1.0,False,
2014-01-08,140558,134855,1246,1478,908,1822,0,249,present,6,6,full,1.0,False,
2014-01-09,141522,138129,1020,1377,529,248,0,219,present,6,6,full,1.0,False,
2014-01-10,130152,127164,543,314,597,1350,0,184,present,6,6,full,1.0,False,
2014-01-11,87727,84560,669,227,980,1126,0,165,present,6,6,full,1.0,False,
2014-01-12,90302,85754,858,212,1166,2190,0,122,present,6,6,full,1.0,False,
2014-01-13,131056,125759,1074,496,1213,2350,0,164,present,6,6,full,1.0,False,
2014-01-14,144347,139215,1147,455,955,2310,0,265,present,6,6,full,1.0,False,
2014-01-15,154017,148859,1081,369,1019,2370,0,319,present,6,6,full,1.0,False,
2014-01-16,150150,146824,261,0,673,2184,0,208,present,6,5,t_minus_n_neighbor_substrate_gap,0.8333333333333334,False,
2014-01-17,35178,32786,202,0,570,1382,0,238,present,6,5,t_minus_n_neighbor_substrate_gap,0.8333333333333334,False,
2014-01-18,24418,22065,148,0,796,1374,0,35,present,6,5,t_minus_n_neighbor_substrate_gap,0.8333333333333334,False,
2014-01-19,25503,21322,174,896,868,2216,0,27,present,6,6,full,1.0,False,
2014-01-20,39631,33916,259,1867,956,2587,0,46,present,6,6,full,1.0,False,
2014-01-21,40307,34623,244,1763,967,2640,0,70,present,6,6,full,1.0,False,
2014-01-22,43181,38241,0,1542,835,2522,0,41,present,6,5,t_minus_n_neighbor_substrate_gap,0.8333333333333334,False,
2014-01-23,3875,0,0,900,502,2384,0,89,expected_absent_per_recognized_list,6,4,t0_absent_substrate_gap+t_minus_n_neighbor_substrate_gap,0.6666666666666666,False,
