asset,base12_phase,state,long_pct,n,low_data,marker
GLD,4,panic / crisis,0.0,2,true,LOW_DATA
GLD,4,quiet bearish / exhaustion,50.0,2,true,LOW_DATA
GLD,4,indeterminate-state,NA,0,true,LOW_DATA
GLD,5,calm bull,50.0,10,true,LOW_DATA
GLD,5,manic / unstable rally,NA,0,true,LOW_DATA
GLD,5,panic / crisis,NA,0,true,LOW_DATA
GLD,5,quiet bearish / exhaustion,50.0,2,true,LOW_DATA
GLD,5,indeterminate-state,NA,0,true,LOW_DATA
GLD,6,calm bull,50.0,12,true,LOW_DATA
GLD,6,manic / unstable rally,100.0,1,true,LOW_DATA
GLD,6,panic / crisis,83.33333333333333,6,true,LOW_DATA
GLD,6,quiet bearish / exhaustion,75.0,4,true,LOW_DATA
GLD,6,indeterminate-state,NA,0,true,LOW_DATA
GLD,7,calm bull,47.05882352941177,17,true,LOW_DATA
GLD,7,manic / unstable rally,NA,0,true,LOW_DATA
GLD,7,panic / crisis,50.0,8,true,LOW_DATA
GLD,7,quiet bearish / exhaustion,42.857142857142854,7,true,LOW_DATA
GLD,7,indeterminate-state,NA,0,true,LOW_DATA
GLD,8,calm bull,80.0,10,true,LOW_DATA
GLD,8,manic / unstable rally,100.0,1,true,LOW_DATA
GLD,8,panic / crisis,60.0,5,true,LOW_DATA
GLD,8,quiet bearish / exhaustion,33.333333333333336,3,true,LOW_DATA
GLD,8,indeterminate-state,NA,0,true,LOW_DATA
GLD,9,calm bull,46.15384615384615,13,true,LOW_DATA
GLD,9,manic / unstable rally,NA,0,true,LOW_DATA
GLD,9,panic / crisis,100.0,2,true,LOW_DATA
GLD,9,quiet bearish / exhaustion,NA,0,true,LOW_DATA
GLD,9,indeterminate-state,NA,0,true,LOW_DATA
GLD,10,calm bull,46.666666666666664,15,true,LOW_DATA
GLD,10,manic / unstable rally,NA,0,true,LOW_DATA
GLD,10,panic / crisis,100.0,5,true,LOW_DATA
GLD,10,quiet bearish / exhaustion,0.0,1,true,LOW_DATA
GLD,10,indeterminate-state,NA,0,true,LOW_DATA
GLD,11,calm bull,87.5,16,true,LOW_DATA
GLD,11,manic / unstable rally,100.0,4,true,LOW_DATA
GLD,11,panic / crisis,100.0,3,true,LOW_DATA
GLD,11,quiet bearish / exhaustion,80.0,5,true,LOW_DATA
